month,latitude,longitude,depth,mag,mag_avg
3,-10,150,40,6.1,1
3,-30,-180,50,6.2,1
3,-30,-180,40,6.6,1
3,0,100,20,5.6,1
4,50,140,260,5.8,1
4,-60,-130,20,6,1
4,-10,100,60,6.1,1
4,-10,130,70,6,1
4,30,80,30,5.5,1
4,-10,-80,120,6.5,1
4,0,140,50,6.1,1
4,0,130,30,7.1,1
4,0,130,30,7.1,1
4,-20,180,20,6.2,1
4,40,100,20,6.7,1
4,20,120,30,5.8,1
4,0,150,30,5.6,1
4,50,100,20,5.7,1
4,30,100,30,5.8,1
4,30,130,30,5.8,1
4,0,130,40,5.7,1
4,0,130,30,6,1
4,50,180,40,6.1,1
4,-60,160,20,5.6,1
4,0,130,60,6.3,1
5,-20,170,140,6.8,1
5,-10,110,40,5.7,1
5,10,130,60,5.7,1
5,40,140,50,6.2,1
5,10,-90,50,5.6,1
5,0,-80,20,6.6,1
5,20,120,40,5.8,1
5,60,-150,40,6,1
5,60,160,50,5.8,1
5,-60,160,20,5.6,1
5,10,-90,40,5.8,1
5,40,-30,20,5.4,1
5,0,150,40,5.9,1
5,40,140,60,5.7,1
5,-10,120,30,5.7,1
5,-30,-70,20,6,1
5,-50,-80,20,6.4,1
5,20,-50,20,6.9,1
5,-30,-180,70,6.8,1
5,-10,160,40,5.9,1
5,0,130,60,5.8,1
5,-10,120,40,5.9,1
5,50,160,30,6.9,1
5,-60,-30,10,6.2,1
5,60,160,30,6.1,1
5,60,160,40,5.8,1
5,30,60,70,5.5,1
5,-50,140,20,6,1
5,-20,-170,20,5.8,1
5,-20,-170,20,5.8,1
6,-20,-170,20,5.9,1
6,-10,160,50,5.8,1
6,-60,-20,20,6.2,1
6,10,-70,20,5.8,1
6,30,140,20,5.7,1
6,0,130,30,6.1,1
6,-30,-180,30,5.6,1
6,0,120,40,5.8,1
6,-40,80,20,5.7,1
6,20,120,20,6,1
6,10,-100,20,5.9,1
6,20,120,40,5.8,1
6,-20,-170,20,6,1
6,-20,-170,20,6,1
6,-20,-170,20,5.6,1
6,50,160,10,5.7,1
6,-60,150,20,6.2,1
6,-60,150,20,6.1,1
6,30,-120,10,5.6,1
6,40,70,20,5.4,1
6,-40,-100,20,5.8,1
6,0,100,70,5.6,1
6,-70,-180,20,6.2,1
6,60,-140,30,5.7,1
6,30,130,30,5.8,1
6,30,90,50,5.6,1
6,10,130,70,6.1,1
6,30,140,20,5.9,1
6,-30,-180,30,5.8,1
6,30,90,50,5.7,1
6,50,130,40,5.9,1
6,-30,-180,40,5.6,1
6,50,-170,70,5.8,1
6,60,-150,50,6.3,1
6,-10,110,20,6,1
6,10,-80,20,5.9,1
6,40,80,100,6,1
6,60,-140,30,5.5,1
6,0,100,40,5.7,1
6,50,150,30,6.9,1
6,-30,70,20,5.5,1
6,50,150,30,5.7,1
7,-20,-10,20,5.8,1
7,-30,-180,180,6.8,1
7,-10,-80,60,5.8,1
7,0,-20,20,5.6,1
7,10,-80,40,6,1
7,50,150,20,5.7,1
7,50,150,30,6.2,1
7,30,140,20,5.7,1
7,50,150,20,5.9,1
7,20,120,30,5.9,1
7,10,-60,30,5.8,1
7,-30,-180,20,5.8,1
7,-30,-180,20,5.6,1
7,40,40,30,6.4,1
7,-60,-20,20,5.8,1
7,40,140,30,5.7,1
7,40,10,20,6.1,1
7,40,10,20,6.3,1
7,-60,150,20,6.3,1
7,-10,150,40,5.9,1
7,30,120,20,5.9,1
7,40,20,20,6,1
7,-10,110,20,5.8,1
7,50,150,20,5.7,1
7,-30,-180,30,6.6,1
7,-30,-180,40,6.3,1
7,-30,-180,40,5.8,1
7,-30,-180,30,6.5,1
7,-60,-30,60,5.8,1
7,-30,-180,20,5.6,1
8,10,-40,20,6.9,1
8,-10,110,70,5.5,1
8,-60,150,20,5.8,1
8,60,-30,20,5.5,1
8,50,170,50,5.8,1
8,-10,150,50,6,1
8,-20,-180,30,6,1
8,-20,-170,30,5.8,1
8,0,140,40,5.7,1
8,-10,150,50,5.7,1
8,40,140,40,6.5,1
8,-10,-70,550,7.7,1
8,30,140,490,5.5,1
8,30,130,40,6.4,1
8,-30,-180,20,5.6,1
8,50,-180,20,5.6,1
8,40,140,40,5.7,1
8,-10,160,20,6.3,1
8,50,160,40,5.6,1
8,-20,-180,570,7,1
8,40,40,40,5.3,0
8,-50,-80,20,6.1,1
8,40,70,20,6.5,1
8,-20,-170,30,5.8,1
